word,count,handle,total_count,rank
weve,15,JustinTrudeau,24,155.0
weve,3,theJagmeetSingh,24,155.0
weve,3,ElizabethMay,24,155.0
weve,2,MaximeBernier,24,155.0
weve,1,AndrewScheer,24,155.0
seniors,13,JustinTrudeau,24,151.0
seniors,8,AndrewScheer,24,151.0
seniors,2,ElizabethMay,24,151.0
seniors,1,theJagmeetSingh,24,151.0
ottawa,13,theJagmeetSingh,24,148.0
ottawa,4,MaximeBernier,24,148.0
ottawa,3,ElizabethMay,24,148.0
ottawa,2,AndrewScheer,24,148.0
ottawa,2,JustinTrudeau,24,148.0
national,14,AndrewScheer,24,150.0
national,3,MaximeBernier,24,150.0
national,3,JustinTrudeau,24,150.0
national,2,theJagmeetSingh,24,150.0
national,2,ElizabethMay,24,150.0
many,7,JustinTrudeau,24,149.0
many,5,MaximeBernier,24,149.0
many,5,AndrewScheer,24,149.0
many,4,theJagmeetSingh,24,149.0
many,3,ElizabethMay,24,149.0
love,11,ElizabethMay,24,152.0
love,10,theJagmeetSingh,24,152.0
love,2,MaximeBernier,24,152.0
love,1,JustinTrudeau,24,152.0
less,10,theJagmeetSingh,24,146.0
less,8,MaximeBernier,24,146.0
less,5,AndrewScheer,24,146.0
less,1,JustinTrudeau,24,146.0
leaders,9,MaximeBernier,24,156.0
leaders,8,AndrewScheer,24,156.0
leaders,4,ElizabethMay,24,156.0
leaders,2,JustinTrudeau,24,156.0
leaders,1,theJagmeetSingh,24,156.0
instead,11,MaximeBernier,24,147.0
instead,7,theJagmeetSingh,24,147.0
instead,4,AndrewScheer,24,147.0
instead,1,ElizabethMay,24,147.0
instead,1,JustinTrudeau,24,147.0
free,12,AndrewScheer,24,153.0
free,10,MaximeBernier,24,153.0
free,1,theJagmeetSingh,24,153.0
free,1,ElizabethMay,24,153.0
around,9,JustinTrudeau,24,154.0
around,6,theJagmeetSingh,24,154.0
around,5,AndrewScheer,24,154.0
around,3,ElizabethMay,24,154.0
around,1,MaximeBernier,24,154.0
still,7,MaximeBernier,23,160.0
still,5,AndrewScheer,23,160.0
still,5,JustinTrudeau,23,160.0
still,3,theJagmeetSingh,23,160.0
still,3,ElizabethMay,23,160.0
pay,7,theJagmeetSingh,23,162.0
pay,6,AndrewScheer,23,162.0
pay,6,JustinTrudeau,23,162.0
pay,3,MaximeBernier,23,162.0
pay,1,ElizabethMay,23,162.0
means,12,AndrewScheer,23,157.0
means,4,ElizabethMay,23,157.0
means,3,theJagmeetSingh,23,157.0
means,2,MaximeBernier,23,157.0
means,2,JustinTrudeau,23,157.0
